feature,importance
cat__model_Model S P85,1.2223182846730456e-06
cat__model_Model S 85,9.68989845496361e-07
cat__model_Model S Standard Range,9.452149201826273e-07
cat__model_e-Golf Limited Edition,9.275153146662995e-07
cat__model_XC40 Recharge Pure Electric Ultimate,8.97805787976901e-07
cat__model_B-Class Electric Drive Base,8.552812973779119e-07
cat__model_Bolt EV FWD LT,8.348896012825009e-07
cat__model_Taycan,7.835551466528477e-07
cat__model_ID.4 AWD Pro S,6.617168522005876e-07
cat__model_Solterra Touring,6.591733834315191e-07
cat__model_C40 Recharge Pure Electric P8 Ultimate,6.300998407824321e-07
cat__model_Model 3 Mid Range Battery,6.114660556245512e-07
cat__model_Model X 70D,6.013862431331722e-07
cat__model_Soul EV PLUS,5.987120950996537e-07
cat__model_Solterra Premium,5.388463714593805e-07
cat__model_i3 94Ah s,5.381001690200269e-07
cat__model_Model 3 PLUS,5.040438080899112e-07
cat__transmission_Inductive Technology System,3.9804717107886147e-07
cat__transmission_Single Speed Reducer,3.76296348835205e-07
cat__model_I-PACE HSE,3.742160957430684e-07
cat__model_Soul EV EV+,3.625477258261709e-07
cat__model_Niro EV S,3.5256177058296555e-07
cat__model_Soul EV,3.4514055360706e-07
cat__model_Solterra Limited,2.903152103172869e-07
cat__transmission_CVT,2.867601956321676e-07
cat__transmission_SINGLE SPEED REDUCER,2.4055259767676817e-07
cat__model_Leaf S PLUS 62 kWh,2.2598407206801385e-07
cat__model_XC40 Recharge Pure Electric P8 Twin Plus,2.2552910845832977e-07
cat__model_i-MiEV SE,2.1423218509807047e-07
cat__model_Bolt EV FWD Premier,1.7970813702686572e-07
cat__model_C40 Recharge Pure Electric Twin Plus,1.729933723457403e-07
cat__model_I-PACE First Edition,1.3266500013998464e-07
cat__model_C40 Recharge Pure Electric Ultimate,1.030136267099482e-07
cat__model_Niro EX Premium,9.437270464218404e-08
cat__model_i3,8.71953544249263e-08
cat__transmission_Single-Speed Fixed Gear,7.837485388530103e-08
cat__model_Bolt EUV,6.660533423582918e-08
cat__model_Model S 60 kWh Battery,5.0538546876363734e-08
cat__model_Soul EV EV-E,4.410018954991131e-08
cat__model_i3 DEKA WORLD,4.0924141308966377e-08
cat__model_Model S Signature,3.6292637305102895e-08
cat__model_XC40 Recharge Pure Electric P8 Twin Ultimate,3.5894739705052276e-08
cat__model_Focus SE,3.525031861530439e-08
cat__model_XC40 Recharge Pure Electric Plus,3.5165357243479874e-08
cat__model_Taycan Base (A2),2.3179123215662594e-08
cat__model_Model 3 BASE,2.2947154629495835e-08
cat__transmission_1-SPEED A/T,1.873341780832989e-08
cat__transmission_automatic,1.2283925184474628e-08
"cat__model_Soul EV Base (CA, OR, WA, NY, NJ, MA, MD, CT, GA, TX)",1.2236364762626647e-08
cat__transmission_SINGLE SPEED,6.780668572869189e-09
"cat__transmission_Automatic, 1-Spd",4.947187461250795e-09
cat__model_Model X 90D/HIGHWAY AUTOPILOT/6 SEATER/SUBZERO WEATHER PKG,0.0
cat__model_Model X 75D/FULL SELF DRIVING CAPABILITY PAID 15 000 VALUE,0.0
cat__model_Model X D75,0.0
cat__model_F-150 Lightning LARIATAWD,0.0
cat__model_F-150 Lightning Platinum 4WD,0.0
cat__model_Model Y Performance AWD,0.0
cat__model_Focus Electric BASE,0.0
cat__model_F-150 Lightning BATTERY,0.0
cat__model_Model X WARRANTY,0.0
cat__model_Model Y,0.0
cat__model_Model X 90D/BASE AUTOPILOT/AP2 HARDWARE CAN BE UPGRADED TO,0.0
cat__transmission_Continuously Variable,0.0
cat__transmission_Other,0.0
cat__transmission_OTHER,0.0
cat__model_Model X PLAID-FSD,0.0
cat__model_Model X LONG RANG,0.0
cat__model_Model X FULL SELF DRIVING,0.0
cat__model_AMG EQS 4MATIC,0.0
cat__transmission_SINGLE SPEED FIXED GEAR,0.0
cat__transmission_Manual,0.0
cat__transmission_1-SPEED AUTOMATIC TRANSMISS,0.0
cat__drivetrain_Front-Wheel Drive,0.0
